contains_dock,city,url,address,bedrooms,bathrooms,sqft,listing_price,cash_down_payment,loan_type,rate,remaining_balance,home_total
False,Gainesville,https://www.withroam.com/listing/2355-MARBLERIDGE-DR-GAINESVILLE-GA-30501/288679,"2355 Marbleridge Dr, Gainesville, GA 30501",3,3,1836,"$325,000","$109,760",,2.75%,"$215,239","$1,509"
False,Gainesville,https://www.withroam.com/listing/4241-SWAMP-CYPRESS-TRL-GAINESVILLE-GA-30504/267351,"4241 Swamp Cypress Trl, Gainesville, GA 30504",3,2,1604,"$348,500","$78,720",,2.8%,"$269,779","$1,951"
False,Flowery Branch,https://www.withroam.com/listing/5804-SCREECH-OWL-DR-FLOWERY-BRANCH-GA-30542/285786,"5804 Screech Owl Dr, Flowery Branch, GA 30542",5,3,2416,"$410,000","$172,800",,2.9%,"$237,199","$1,940"
False,Gainesville,https://www.withroam.com/listing/3116-ALENES-DR-GAINESVILLE-GA-30506/289367,"3116 Alenes Dr, Gainesville, GA 30506",4,3,2428,"$537,500","$231,918",,2.9%,"$305,581","$2,397"
False,Gainesville,https://www.withroam.com/listing/5480-APACHE-TRL-GAINESVILLE-GA-30506/274843,"5480 Apache Trl, Gainesville, GA 30506",3,2,1700,"$299,000","$62,758",,3.11%,"$236,241","$1,720"
False,Flowery Branch,https://www.withroam.com/listing/4424-LONGMEAD-RD-FLOWERY-BRANCH-GA-30542/290837,"4424 Longmead Rd, Flowery Branch, GA 30542",4,3,3078,"$699,000","$356,341",,2.625%,"$342,658","$2,656"
False,Gainesville,https://www.withroam.com/listing/2660-GLENDALE-DR-GAINESVILLE-GA-30507/290136,"2660 Glendale Dr, Gainesville, GA 30507",4,2,1503,"$299,000","$138,850",,3%,"$160,149","$1,153"
False,Gainesville,https://www.withroam.com/listing/5387-PONDEROSA-FARM-RD-GAINESVILLE-GA-30507/271259,"5387 Ponderosa Farm Rd, Gainesville, GA 30507",5,4,2601,"$530,000","$271,131",,2.87%,"$258,868","$2,176"
False,Oakwood,https://www.withroam.com/listing/4210-OAKWOOD-RD-OAKWOOD-GA-30566/128230,"4210 Oakwood Rd, Oakwood, GA 30566",2,3,1406,"$265,000","$103,614",,3%,"$161,385","$1,251"
False,Gainesville,https://www.withroam.com/listing/4392-MOUNT-VERNON-RD-GAINESVILLE-GA-30506/276678,"4392 Mount Vernon Rd, Gainesville, GA 30506",4,4,3275,"$475,000","$130,341",,2.875%,"$344,659","$2,245"
False,Flowery Branch,https://www.withroam.com/listing/4875-CASH-RD-FLOWERY-BRANCH-GA-30542/124933,"4875 Cash Rd, Flowery Branch, GA 30542",4,3,1767,"$450,000","$71,974",,6%,"$378,025","$2,707"
False,Gainesville,https://www.withroam.com/listing/3480-MAYNARD-CIR-GAINESVILLE-GA-30506/276630,"3480 Maynard Cir, Gainesville, GA 30506",3,2,2501,"$489,900","$197,414",,3.1%,"$292,485","$2,293"
False,Gainesville,https://www.withroam.com/listing/4525-CHESTATEE-HEIGHTS-RD-GAINESVILLE-GA-30506/237949,"4525 Chestatee Heights Rd, Gainesville, GA 30506",4,3,3332,"$575,000","$118,084",,3.92%,"$456,915","$3,470"
False,Flowery Branch,https://www.withroam.com/listing/4863-BEACON-RIDGE-LN-FLOWERY-BRANCH-GA-30542/268078,"4863 Beacon Ridge Ln, Flowery Branch, GA 30542",3,3,1740,"$299,750","$114,644",,2.65%,"$185,105","$1,503"
False,Flowery Branch,https://www.withroam.com/listing/6422-KETTLE-CREEK-WAY-FLOWERY-BRANCH-GA-30542/125280,"6422 Kettle Creek Way, Flowery Branch, GA 30542",5,4,4440,"$575,000","$134,766",,6%,"$440,233","$3,183"
False,Flowery Branch,https://www.withroam.com/listing/5996-SCREECH-OWL-DR-FLOWERY-BRANCH-GA-30542/267699,"5996 Screech Owl Dr, Flowery Branch, GA 30542",5,3,2613,"$484,900","$111,472",,3.75%,"$373,427","$2,597"
False,Flowery Branch,https://www.withroam.com/listing/4787-BEACON-RIDGE-LN-FLOWERY-BRANCH-GA-30542/290064,"4787 Beacon Ridge Ln, Flowery Branch, GA 30542",3,3,1740,"$315,000","$176,913",,3.875%,"$138,086","$1,413"
